Kota Tarakan,107.29,110.5
Bolaang Mongondow,97.3,95.66
Minahasa,100.31,99.4
Kepulauan Sangihe,106.79,107.88
Kepulauan Talaud,122.74,119.96
Minahasa Selatan,97.93,98.06
Minahasa Utara,106.36,104.99
Bolaang Mongondow Utara,93.27,91.43
Siau Tagulandang Biaro,107.14,111.92
Minahasa Tenggara,97.03,97.07
Bolaang Mongondow Selatan,93.64,92.21
Bolaang Mongondow Timur,102.28,97.49
Kota Manado,106,104.66
Kota Bitung,97.6,97.34
Kota Tomohon,100.14,99.69
Kota Kotamobagu,99.32,97.72
Banggai Kepulauan,94.08,94.27
Banggai,93.18,97.81
Morowali,102.93,104.11
Poso,90.52,92.44
Donggala,87.1,86.67
Toli-Toli,90.62,92.06
Buol,91.63,90.82
Parigi Moutong,86.9,86.43
Tojo Una-Una,87.16,87.91
Sigi,84.87,79.28
Banggai Laut,99.08,96.18
Morowali Utara,103.13,103.88
Kota Palu,86.65,85.25
Kepulauan Selayar,102.51,98.85
Bulukumba,93.06,95.11
Bantaeng,91.43,93.7
Jeneponto,96.8,96.27
Takalar,93.04,93.14
Gowa,95.1,95.17
Sinjai,91.86,91.19
Maros,93.64,96.64
Pangkajene dan Kepulauan,89.33,91.49
Barru,87.98,92.49
Bone,98.84,97.16
Soppeng,94.26,95.82
Wajo,96,95.05
Sidenreng Rappang,94.14,91.49
Pinrang,91,93.05
Enrekang,94.79,97.92
Luwu,100.43,101.41
Tana Toraja,100.65,99.64
Luwu Utara,102.07,99.17
Luwu Timur,102.61,102.25
Toraja Utara,100.56,100.23
Kota Makasar,100,96.06
Kota Parepare,92.17,90.66
Kota Palopo,101.29,99.31
Buton,103.4,99.31
Muna,97.14,91.8
Konawe,91.06,87.71
Kolaka,91.23,88.35
Konawe Selatan,95.46,92.73
Bombana,97.9,94.69
Wakatobi,110.91,109.48
Kolaka Utara,93.21,92.14
Buton Utara,104.52,99.85
Konawe Utara,96.29,95.66
Kolaka Timur,91.34,88.47
Konawe Kepulauan,98.09,95.91
Muna Barat,97.41,91.91
Buton Tengah,107.59,103.09
Buton Selatan,106.21,98.8
Kota Kendari,89.68,87.53
Kota Baubau,101.18,95.6
Boalemo,97.34,101.37
Gorontalo,96.85,97.5
Pohuwato,95.53,95.33
Bone Bolango,94.81,94.7
Gorontalo Utara,97.04,94.71
Kota Gorontalo,94.38,95.64
Majene,85.68,85.05
Polewali Mandar,83.86,84.07
Mamasa,103.51,105.24
Mamuju,93.05,89.76
Mamuju Utara,96.1,97.28
Mamuju Tengah,90.81,90.07
