Melawi,113.8,116.18,113.22
Kayong Utara,110.36,113.27,107.54
Kubu Raya,103.63,104.42,105.61
Kota Pontianak,104.59,104.09,103.31
Kota Singkawang,111.95,114.12,109.55
Kotawaringin Barat,96.82,101.01,104.99
Kotawaringin Timur,101.05,97.65,103.76
Kapuas,94.1,95.99,101.17
Barito Selatan,99.72,94.82,101.14
Barito Utara,100.19,100.82,102.12
Sukamara,105.68,110.98,112.4
Lamandau,101.34,108.86,109.42
Seruyan,101.67,107.28,108.72
Katingan,93.16,96.5,100.39
Pulang Pisau,97.62,97.65,101.28
Gunung Mas,101.81,106.23,113.29
Barito Timur,96.09,97.17,97.8
Murung Raya,108.02,111.12,113.51
Kota Palangka Raya,97.6,96.78,98.66
Tanah Laut,94.34,92.93,99.59
Kota Baru,98.09,97.21,99.28
Banjar,102.69,97.78,99.29
Barito Kuala,102.44,102.36,107.13
Tapin,96.93,98.09,103.08
Hulu Sungai Selatan,102.28,98.22,101.89
Hulu Sungai Tengah,101.74,99.14,99.51
Hulu Sungai Utara,100.2,100.22,101.15
Tabalong,104.17,104.97,105.05
Tanah Bumbu,94.71,96.92,99.01
Balangan,105.71,107.35,107.09
Kota Banjarmasin,101.39,99.72,106.16
Kota Banjar Baru,100.2,96.21,101.74
Paser,105.04,105.15,109.7
Kutai Barat,111.62,116.95,119.51
Kutai Kartanegara,109.18,106.12,109.54
Kutai Timur,109.67,110.05,118.5
Berau,103.98,105.74,113.67
Penajam Paser Utara,105.92,106.12,116.91
Mahakam Ulu,143.93,136.9,142.97
Kota Balikpapan,103.71,104.41,108.36
Kota Samarinda,102.23,104.32,107.03
Kota Bontang,106.83,106.13,114.15
Malinau,104.06,100.28,98.11
Bulungan,106.68,103.03,102.58
Tana Tidung,108.42,104.13,103.02
Nunukan,124.45,117.14,114.09
Kota Tarakan,107.04,106.19,106.3
Bolaang Mongondow,95.81,97.34,98
Minahasa,99.3,102.26,102.76
Kepulauan Sangihe,118.13,116.34,113.15
Kepulauan Talaud,136.51,131.52,123.6
Minahasa Selatan,103.41,99.65,99.8
Minahasa Utara,100.63,103.83,112.87
Bolaang Mongondow Utara,92.31,92.99,95.22
Siau Tagulandang Biaro,118.52,116.6,114.08
Minahasa Tenggara,95.81,97.78,95.66
Bolaang Mongondow Selatan,98.85,98.76,99.46
Bolaang Mongondow Timur,101.9,103.83,105.91
Kota Manado,102.83,110.89,109.67
Kota Bitung,106.21,99.09,101.6
Kota Tomohon,101.02,101.01,101.42
Kota Kotamobagu,98.32,100.79,102.09
Banggai Kepulauan,98.9,97.27,94.14
Banggai,93.1,95.64,94.04
Morowali,93.64,92.67,101.22
Poso,91.69,88.74,88.77
Donggala,83.53,86.54,86.06
Toli-Toli,90.78,90.38,93.73
Buol,92.98,90.8,93.99
Parigi Moutong,86.8,84.69,88.23
Tojo Una-Una,91.31,88.94,88.96
Sigi,82.18,81.71,82.43
Banggai Laut,104.06,105.13,103.9
Morowali Utara,90.88,95.7,103.58
Kota Palu,82.3,81.17,86.47
Kepulauan Selayar,108.84,104.21,103.82
Bulukumba,91.69,93.87,90.65
Bantaeng,86.04,91.4,90.16
Jeneponto,96.44,96.49,93.71
Takalar,88.36,89.07,88.36
Gowa,88.61,93.12,92.89
Sinjai,87.77,88.71,89.14
Maros,91.25,90.76,90.02
Pangkajene dan Kepulauan,92.58,93.06,88.9
Barru,92.23,89.74,87.44
Bone,94.23,95.2,96.96
Soppeng,92.11,94.44,91.71
Wajo,98.16,101.61,97.57
Sidenreng Rappang,89.87,95.38,90.91
Pinrang,95.1,90.83,90.78
Enrekang,102.31,100.79,95.95
Luwu,102.12,101.1,96.52
Tana Toraja,102.65,104.99,105.71
Luwu Utara,93.63,100.53,100.51
Luwu Timur,104.71,106.8,107.47
Toraja Utara,98.75,104.19,102.66
Kota Makasar,95.72,100,100
Kota Parepare,93.76,98.92,95.69
Kota Palopo,99.75,102.74,101.93
Buton,106.17,106.92,106.52
Muna,105.55,99.87,96.15
Konawe,97.1,93.92,89.87
Kolaka,93.71,92.5,92.41
Konawe Selatan,92.5,93.12,93.37
Bombana,96.63,97.4,98.1
Wakatobi,108.17,106.09,105.01
Kolaka Utara,97.79,94.64,90.81
Buton Utara,108.82,104.98,107.23
Konawe Utara,96.94,94.94,95.78
Kolaka Timur,90.86,90.77,90.74
Konawe Kepulauan,101.54,96.41,94.31
Muna Barat,109.05,98.18,97.38
Buton Tengah,107.46,113.86,111.23
Buton Selatan,113.02,115.29,109.91
Kota Kendari,90.25,90.06,89.23
Kota Baubau,107.25,105.17,102.69
Boalemo,97.01,97.08,99.13
Gorontalo,92.67,94.84,95.84
Pohuwato,94.33,93.86,93.81
Bone Bolango,94.48,95.43,94.52
Gorontalo Utara,94.81,95.81,97.55
Kota Gorontalo,91.52,93.45,91.06
Majene,86.42,83.89,80.55
Polewali Mandar,82.6,81.41,80.04
Mamasa,102.34,108.6,100.01
Mamuju,87.54,89.44,88.34
Mamuju Utara,92.82,97.31,92.88
Mamuju Tengah,86.51,86.39,84.48
Maluku Tenggara Barat,131.16,136.1,117.96
Maluku Tenggara,128.79,127.19,111
Maluku Tengah,115.29,120.09,102.36
Buru,131.47,120.36,103.9
Kepulauan Aru,130.73,126.18,108.91
Seram Bagian Barat,111.88,117.23,101.64
Seram Bagian Timur,115.33,121.58,102.06
Maluku Barat Daya,131.14,138.15,121.68
Buru Selatan,133.18,130.22,108.18
Kota Ambon,110.2,109.64,100.62
Kota Tual,132.56,126.78,111.6
Halmahera Barat,113.88,108.7,110.54
Halmahera Tengah,134.5,115.62,113.94
Kepulauan Sula,129.16,112.49,116.19
Halmahera Selatan,114.61,113.87,109.54
Halmahera Utara,110.6,110.54,105.58
Halmahera Timur,119.37,112.32,102.89
Pulau Morotai,114.32,108.6,108.92
Pulau Taliabu,130.81,113.65,114.67
Kota Ternate,121.76,120.21,113.38
Kota Tidore Kepulauan,118.58,107.69,111.07
Fakfak,126.32,135.74,117.96
Kaimana,123.48,118.86,116.06
Teluk Wondama,127.67,124.49,117.36
Teluk Bintuni,139.24,147.41,144.22
Manokwari,120.92,119.59,114.43
Manokwari Selatan,130.73,130.44,132.18
Pegunungan Arfak,185.7,167.64,151.52
Raja Ampat,125.22,131.59,124.79
Sorong,119.93,116.23,115.09
Sorong Selatan,128.36,138.18,118.97
Maybrat,132.47,131.92,128.63
Tambrauw,128.92,128.54,130.39
Kota Sorong,109.25,115.79,117.26
Jayapura,120.87,121.79,118.75
Kepulauan Yapen,142.53,136.06,128.94
Biak Numfor,129.53,125.74,130.13
Sarmi,138.83,139.46,142.74
Keerom,134.14,127.56,138.87
Waropen,143.27,148.22,137.68
Supiori,130.43,139.26,140.95
Mamberamo Raya,184.27,171.96,179.63
Kota Jayapura,120.2,120.57,129.17
Merauke,150.93,148.88,143.1
Boven Digoel,159.84,157.75,140.02
Mappi,152.02,155.91,150.06
Asmat,179.68,169.93,149.32
Mimika,125.93,131.79,120.51
Dogiyai,213.51,212.94,192.14
Deiyai,229.01,238.23,211.21
Nabire,138.7,131.74,130.61
Paniai,229.51,235.44,208.96
Intan Jaya,438.39,447.97,405.9
Puncak,492.62,478.12,418.96
Puncak Jaya,449.51,446.4,373.95
Nduga,297.45,294.92,258.56
Jayawijaya,295.03,288.05,252.52
Lanny Jaya,317.27,320.1,285.18
Tolikara,336.37,340.56,287.34
Mamberamo Tengah,391.82,373.08,323.69
Yalimo,349.27,333.99,278.42
Yahukimo,192.81,181.94,163.3
Pegunungan Bintang,356.01,360.05,335.81
